village_id_rand,treatment,total_bl_villavg,hindi_bl_villavg,math_bl_villavg,english_bl_villavg,total_ely1_villavg,hindi_ely1_villavg,math_ely1_villavg,english_ely1_villavg,total_ely2_villavg,hindi_ely2_villavg,math_ely2_villavg,english_ely2_villavg,total_ely3_villavg,hindi_ely3_villavg,math_ely3_villavg,english_ely3_villavg,child_female_villfrac,child_scst_villfrac,number_students
186,1,7.3809524,3.0952382,2.6190476,1.6666666,10.666667,4.0833335,3.5,3.0833333,11.727273,4.4545455,3.6363637,3.6363637,12.9,5,4,3.9000001,.38095239,.047619049,21
187,1,7.9761906,3.2142856,2.7142856,2.0476191,10.733334,4.4333334,3.2666667,3.0333333,10.37037,4.2962961,3.2962964,2.7777777,11.9,4.3000002,3.95,3.6500001,.45238096,.42857143,42
188,1,7.318182,2.7045455,2.4545455,2.159091,12.08,4.96,4,3.1199999,11.73913,4.304348,3.826087,3.6086957,13.333333,5.0952382,4.2857141,3.9523809,.45454547,.27272728,44
189,0,6.8076925,2.3076923,2.8076923,1.6923077,8.9375,3.3125,3.4375,2.1875,9.1538458,4.3846154,2.8461537,1.9230769,8.7142859,3.9285715,2.8571429,1.9285715,.38461539,.61538464,26
190,1,6.0526314,2.4210527,2.2105262,1.4210526,8.1000004,3.4000001,2.5999999,2.0999999,8.181818,3.2727273,2.909091,2,11.777778,4.3333335,3.5555556,3.8888888,.63157892,.47368422,19
191,0,6.1388888,2.2222223,2.3472223,1.5694444,8.6904764,3.4285715,3.1190476,2.1428571,8.8421049,3.6052632,2.9210527,2.3157895,9.6206894,3.8965516,3.1379311,2.5862069,.45833334,.083333336,72
192,1,5.4358974,2,1.9230769,1.5128205,7.478261,3.0434783,2.4347825,2,6.5714288,2.6666667,2.0476191,1.8571428,8.5,3.3,2.8499999,2.3499999,.66666669,.66666669,39
193,1,5.2941175,2.1176472,1.9411764,1.2352941,7.5454545,2.909091,2.4545455,2.1818182,10.454545,3.909091,3.3636363,3.1818182,13.8,5.3000002,4.1999998,4.3000002,.35294119,.35294119,17
194,0,6.5384617,2.6153846,2.1538463,1.7692307,10.333333,4.5,3.5,2.3333333,8.333333,3.1666667,2.8333333,2.3333333,11.571428,4.7142859,3.4285715,3.4285715,.46153846,.46153846,13
195,1,7.5,2.7916667,2.7291667,1.9791666,11,4.5,3.6785715,2.8214285,10.275862,3.9655173,3.3448277,2.9655173,13.173913,4.9130435,3.9565217,4.304348,.58333331,.25,48
196,0,7,2.6842105,2.4210527,1.8947369,10.6,4.6999998,3.5,2.4000001,10.2,4.0999999,3,3.0999999,11.142858,5,3,3.1428571,.42105263,0,19
197,1,6.5,2.5333333,2.1333334,1.8333334,9,3.6666667,2.8666666,2.4666667,9,3.6470587,3.1764705,2.1764705,10.714286,3.8571429,3.6428571,3.2142856,.63333333,.1,30
198,0,7.1538463,2.5897436,2.6153846,1.948718,10.086957,4.173913,3.2173913,2.6956522,9.26087,3.5652175,3.2608695,2.4347825,8.9473686,3.7894738,2.8421052,2.3157895,.56410259,.12820514,39
199,1,6.6904764,2.6666667,2.1428571,1.8809524,9.625,4.0833335,2.9166667,2.625,9.5714283,3.5357144,2.9642856,3.0714285,12,4.4166665,3.875,3.7083333,.47619048,.38095239,42
200,0,6.5531917,2.319149,2.1914895,2.0425532,9.5600004,3.9200001,2.96,2.6800001,7.7037039,2.6666667,2.8148148,2.2222223,7.875,2.875,2.75,2.25,.4893617,.21276596,47
201,0,6.9259257,2.5555556,2.4814816,1.8888888,10.266666,4.2666669,3.2666667,2.7333333,11.470589,4.2352943,3.7058823,3.5294118,11.588235,5.0588236,3.2941177,3.2352941,.51851851,.4074074,27
202,1,8.1999998,3.4400001,2.52,2.24,12.357142,5.0714288,3.7142856,3.5714285,11,4.5999999,3.3,3.0999999,10.642858,3.5714285,3.7857144,3.2857144,.95999998,.079999998,25
203,0,6.9333334,2.9333334,2.3333333,1.6666666,10.764706,5.0588236,3.2352941,2.4705882,9.833333,4.1666665,3.1666667,2.5,9.916667,4.25,3.1666667,2.5,.56666666,.43333334,30
204,0,6.52,2.76,2,1.76,10.357142,4.5714288,3,2.7857144,9.7142859,3.8571429,3,2.8571429,10.8125,4.3125,3.3125,3.1875,.44,.40000001,25
205,1,6.5806451,2.3870969,2.4516129,1.7419355,8.8000002,3.55,3.2,2.05,8.666667,3.2666667,3.2666667,2.1333334,11.4375,4.1875,3.9375,3.3125,.48387095,.12903225,31
206,1,8,3.032258,2.7741935,2.1935484,10.857142,4.3333335,3.4285715,3.0952382,10.2,4.3499999,3.1500001,2.7,11.133333,3.7333333,3.9333334,3.4666667,.45161289,.32258064,31
207,1,6.5714288,2.5238094,2.2380953,1.8095238,8.0769234,3.1538463,2.7692308,2.1538463,10.923077,4.3846154,3.3076923,3.2307692,13.916667,4.9166665,4.5,4.5,.47619048,.2857143,21
208,1,6.6071429,2.3928571,2.6071429,1.6071428,8.9473686,3.6842105,2.9473684,2.3157895,9.0588236,3.7058823,3.1176472,2.2352941,10.733334,3.5333333,3.8,3.4000001,.4642857,.25,28
209,0,4.875,1.75,1.84375,1.28125,5.6086955,2.0869565,2.2173913,1.3043479,7.8235292,3.1176472,2.6470587,2.0588236,8,3.3076923,2.4615386,2.2307692,.40625,.21875,32
210,1,8.1999998,3.0285714,2.6571429,2.5142858,11.5,4.4545455,3.5454545,3.5,10.666667,3.8095238,3.2380953,3.6190476,11.428572,3.9523809,4,3.4761906,.45714286,.14285715,35
211,0,5.2777777,2.0555556,1.9444444,1.2777778,7.5999999,2.9000001,2.8,1.9,7.4000001,3,2.9000001,1.5,8.2857141,3.1428571,3,2.1428571,.5,.16666667,18
